Lingua;Type;Country;Gender;Age;Education;Education_2;Q1;Q2;Q3;Q4;Q5;Q6;Q7;Q8;Q9;Q10;Q11;Q12;Q13;Q14
Eng;Breaker;United States;M;> 60;specialization course (master, PhD degree) ;Chartered Engineer in Materials Science with a diverse background in production, research, and academics.  A number of specialties in various disciplines. Work in human physiology and behavior as it relates to an industrial environment.  Grew up with horses and cattle before I went astray into science and technology.. ;Proper diet, clean water, safe facility and storm protection, and adequate training and exercise so the horse knows the role and relationship served.;A sudden or never experienced noise close by will cause a horse to turn and flee in panic with no though except escape.  Noises from further off will cause alert stance and possible agitation.  Noises experienced in a behavioral desensitizing environment will be ignored unless occurring close at hand and unexpectedly much like a human startle response.  Environment will dictate many responses as they can be interpreted as predatory.;A horse as a herd animal will become agitated and potentially despondent when isolated from the herd. They can also become more difficult to handle unless a bond on some order is formed.  Over time a horse can acclimate to a isolate environment, but their physic is affected to some level.  Reintegration can be problematic and their response to humans can become disrespectful if the human is considered part of the herd and not possessing the appropriate dominance characteristics.  Horses need The stimulation of companionship as well as the comfort.;Dependent on the level of training, adjustment, desensitization, contact, and temperament a horse will respond in a generally consistent manner.  In some ways, like cats, they can be at turns diffident, curious, or affectionate.  Relationship is based on familiarity and will be different for each horse in each situation.  Horses are by and large individuals and will act out their personalities based on know expectations and the leeway they interpret.  They always watch and always study.  Response is often based on their interpretation of the dominance relationship.;Horses as prey animals will always react with a survival instinct where no other knowledge is available.  A well trained, well adjusted, and well socialized horse will, by experience, judge most situations as normal and respond accordingly.  With other animals they will be curious or wary dependent on the other animal's acts and actions.  Tension translates quite a distance animal to animal through smell and a subtle posturing of body.  Tension from humans is also easily noticed by the same means as well as acts and actions.  Loud sudden movement will begat a rather negative response.;If the noise is unfamiliar the horse will alert.  If the noise is close at hand the horse will snort and become agitated.  If the noise is sudden, loud, or unrecognized the horse can blindly panic following an instinctual habit of flight.  Horses can be injured in this manner.  If by experience the noise is one associated with negative consequences all the above applies.  If through experience, unless the noise is sudden or unexpected, the horse will generally ignore the source or follow their curiosity to investigate.  The horse will invariably feel threatened or not situation dependent.;"Will feel a certain incompleteness or loneliness; they are herd animals and instinctually expect companionship.  Without other horses they feel particularly vulnerable and this may create a heightened level of stress consequently causing health or behavioral issues.  Not unlike humans or any animal evolved in environments populated by groups a horse will react according to its individuality and psychological flaws.  Think of the isolated human and how they are dramatically affected in the same situation.  A horse will be similarly affected.";Generally comfortable even when there is some ongoing negative interactions.  It is the world they know and the environment they most understand and anticipate.  Without exception they know their place and even with continued competition there are seldom unexpected surprises.  The predators are kept at bay psychologically so the vulnerability is lessened.  Everything maintains a generally neutral familiarness.  Relationships are based on learned interactions and unless a new factor is introduced will continue with the same trends. ;A horse with a lot of diverse human contact will fell comfortable unless some tension translates itself to the horses senses.  Animals with similar habits and behaviors will also be found acceptable unless there are underlying tensions transmitted.  A well adjusted horse responds with the same evenness when the conditions are interpreted as non threatening.  A horse without proper familiarization will fell vulnerable therefore under constant and immediate threat.  Again, a human in an unfamiliar situation without adequate experience in similar situations, will respond with wariness possibly bordering on fear.  Horses as prey animals have great fear of what is unknown.;"The horses condition first of all.  Is there an appropriate and proper fencing enclosure?  Is there necessary shelter from the elements; shade for sunny days and overhead coverage from rain, and possible enclosure for cold weather.  Is location safe from implements that could injure a horse or substances which could affect health.  Is there over crowding?  Adequate forage or the equivalent; access to clean and in contaminated water.  Are the horses abused or show signs of abuse?  Is the general treatment and care at of at least socially and professionally accepted measures.  Is there a know history of problems or conversely a history of superior handling?";Appropriate grains or manufactured feeds.  Adequate supply of hay, forage, or pasture.  Adequate daily allocation of all feeds.  A well balanced feed approach is always hoped for, but each location will generally design according to need, practice, and knowledge.;The horses show no sign of abuse or constant injury.  An indication of proper wound care and health treatment.  Critical veterinary visits for immunization and disease control.  A neighbor failing in proper health requirements and treatments could create an epidemic that could decimate my animals as a byproduct of their gross negligence.  Horses should have decent hoof care and not exhibit signs of lameness.  Horses should not show signs of starvation or ill health.  Disease spreads and negligence exceeds the bounds of any given facility to affect all nearby and by extension through transportation nationally or further.;Generally normal behavior signifies the probability of a normal herd.  These animals should pose no problems of health or behavior. ;Aggressiveness could be a cautionary sign.  Other abnormal behavior could be the sign of the onset of disease with its corresponding consequences.  A single animal could indicate an animal with births defects or without related cause the onset of illness.  The question is always is this systemic to the given animal or something contagious. 
Eng;Owner;Australia;M;41-50;specialization course (master, PhD degree) ;anatomy .physiology of equines;Correct diet...maintain health of feet ,horse chosen prefered company...worming etc....and given love and affection;will adjust ears to reamina alert to the noise;if not use to being seperated will ask to be back with the herd;has trust..;needs to smell and get to know....not feel threatened;feels alert ....flight or fight ;can feel threatened;comfortable;possible threat;safe paddocks...water and shelter....also feed;plenty of grazing....;coat condition...feet...not skinny;grazing....tail swishing occassionally...content;pace the fences...rolling...many things
Eng;Breaker;United States;M;> 60;university degree ;BA;Food, shelter, water and areas for exercise ;will sometimes bolt, always respond;unless accustomed, will be stressed and call ;be gentle and relaxed;be shy and spooky;will respond;unless accustomed will call and be anxious ;is usually relaxed;can be frantic;safe from injury and weather protection;fed at regular intervals proper amounts of grain and hay;not too fat and not too thin;alert, with energy, responsive to stimuli;lethargic, not responsive or hyperactive
Eng;Veterinarian;United Kingdom;M;41-50;specialization course (master, PhD degree) ;PhD in Animal Welfare, Honours Degree in Zoology;"The fitness, health and productivity of horses should be protected by adapting their conditions and management to their biology and natural behaviour. They should be given as much access to pasture in the company of other horses as possible; stabling should be kept to an absolute minimum. No horse should be denied turnout and access to other horses. Appropriate shelter must be provided at pasture. Horses should be bred for robustness against injury as well as performance. Young should stay with the mothers for several months (at least six) and then be weaned naturally. Breeding procedures involving stress, such as use of restraints like the twitch and hobbles should not be used. Management should be planned to avoid fear and distress from birth to death, which should be humane. Training, riding and driving methods should be based upon positive reinforcement, and should not involve fear, stress or injury. ";Will orient to the noise, exhibiting the classic startle response. Depending upon the source, the horse may flee. Over time, if the source does not result in positive or negative consequences, the horse may habituate and respond less or not at all to the noise. During the initial startle response, the horse may experience stress.;Will experience significant stress, exhibiting behavioural indicators such as locomotion, vocalisation, frequent defaecation, attempts to escape the location and head back to the herd, and may tremble. Heart rate and respiration rate may rise, as may plasma and salivary cortisol levels. If prolonged, the rise in cortisol may result in immunosupression, maming the horse more vulnerable to infectious disease.;May experience less stress than that discussed above regarding isolation, or indeed no stress. However, this will depend upon the behaviour of the animals or people. If they perform behaviour which does engender stress, the habitution responsible for the reduced response may break down.;May experience stress, exhibiting behavioural indicators such as locomotion, aggression or attempting to escape the location. Heart rate and respiration rate may rise, as may plasma and salivary cortisol levels. If prolonged, the rise in cortisol may result in immunosuppression, making the horse more vulnerable to infectious disease. The behaviour of the unfamiliar animal or person may modify this response over time. If the behaviour towards the horse is neutral or positive it may habituate to their presence. If it is negative the horse may not habituate, indeed its behavioural and physiological responses to the stress may intensify.;May feel fear.  If the noise occurs repeatedly the fear felt at each instance may decline over time as the horse habituates to the noise. If the consequences of the noise are negative (e.g. result in pain, isolation or stress) the fear may intensify.;Is likely to feel fear, lasting for the duration of the isolation.;May experience less fear than that discussed above regarding isolation, or indeed no fear. However, this will depend upon the behaviour of the animals or people. If they perform behaviour which does engender fear, the habitution responsible for the reduced response may break down.;May feel fear. The behaviour of the unfamiliar animal or person may modify this fear over time. If the behaviour towards the horse is neutral or positive the horse may habituate to their presence and feel less and eventually no fear. If it is negative the horse may not habituate, indeed its fear may intensify.;Presence and cleanliness of bedding, repair and maintenance of buildings, pastures and equipment.;Access to pasture and roughage. The majority of the diet should be pasture or roughage such as hay. Cleanliness of feeding and water troughs, quality of feed provided (eg lacking dust and mould). Quantity of feed provided. Animals neither obese nor thin. Access to clean water should be adlib.;Bright eyes, no discharges, no lameness. No lesions or wounds. Normal heart rate, respiration rate and body temprature. No areas of lost, damaged or piloerected coat. Normal faeces and urine colour. Normal interest in surroundings, normal appetite and social behaviour.;Inquisitive and reactive to enviornment, including presence of observer. Not over-reactive to observer- no extreme avoindance responses or aggressuib. Staying with the herd. May approach observer. Normal interest in food.;Extreme avoidance or aggressive behaviour, extreme reactivity to stimulation. No interest in food or water. Avoiding rest of herd. Any stereotypical behaviour (such as crib-biting, weaving or box-walking). Learned helplessness- ie unresponsive to presence of observer or environmental stimulation.
Eng;Veterinarian;Romania;M;> 60;university degree ;Veterinary Faculty in Bucharest Animal welfare specialization courses in RSPCA-London;remove the use of horses from drawing or other working activities - careless is very important -housing conditions especially during the winter -resting the horses after hardlly activities as race horse or other specific competition -healt surveillance as planned measures in the frameworc of National Strategic Surveillance Programme for Animal Health and Welfare;horses are very sensitive to any kind of noises -its reaction to noises, esspecially to unexpected or unknown noises are frequently exlosive with serious consequences for the noise source, even a lasting friend,owner,farmer or veterinarina;horse are no so sensitve to isolation as sheep,goats or poultry -it's enough for a horse to see another horse at a distance,not to be closer to it like sheep,goats or poultry;horse is not an approachable animal with other horses like dogs ,cats but sometime prefer to run toghether with other horses, in group -the approach of horses with friendly people are very acceptable and sophysticated against oter animals -the horse is the most reactive species to diferentiate a positive approach from one negative, but after cats and doga;horses are the most aggresive species to un unfamiliar animal,people or even an another horse.;horses are very sensitive to unexpectedelly noises,even these are positive or negative for it -to approach a horse it 's compulsory to aware the horse you are or you are to be closer to it;horses are not a group animal,but it's enough to see another horses in its sourounding ,at a distance -when is housed inside it heas to feel or to see another horse or horses.Sometimes just another horse it's enough;The answer is donw before;The answer is done before;we have to ensure movement freedom,it'compulsory -Suitable housing conditions after races or hard drawing actions -pasture is recomended;feeding quality is compulsory -proteic sources is sometimes requested -some sweets or carrot awards after competition or after ridding is recomended;vaccination programme in place -passport is beneficial for horses and compulsory for competition horses -actions in the framework of National Strategical Surveillance Programme for Animal Health and Welfare is compulsory;the approchable procedures haveto be observed,otherwise horses are very aggresive as manifestation;Abnormal behaviours are very dangerous with caastrophal consequences
Eng;Technician;India;M;31-40;specialization course (master, PhD degree) ;I have a master degree in Science (Botany) from Gauhati University. But as I have been working with Brooke India for last six year and undergoes a number of training and have long field experience, I can read the need and behaviour of horse.;To fulfil the fitness, health and productivity a horse need a water and balanced feed in short interval, hygiene stable and a fear free atmosphere.;The animal should show alertness by directing its ears towards the source of the sound/noise. The animal also move itself toward a safe place if the source of the noise is very close to him.;Horse always like to live in group, it is their hard instinct. So a horse always feel the pain of isolation and he may shows anxiousness or hyper alertness. It increase his mental stress.;With familiar animal or people, a horse always feel good and safe. He may show friendly or play behaviour by vocalization or 'friendly' biting behaviour;Horse is a pray animal and it always show defensive bahaviour in presence of unfamiliar animal/people and pose his backside towards them.  ;Horse can catch a large spectrum of sound. It can move its ear almost 150 degree to received the sound. By hearing the sound from a distance or a small sound horse become ready to respond accordingly, either flight or fight at the extreme condition.  ;Many time horse show the pain of isolation by avoiding feed and water. He show very depressive and over anxious.  ;Horse feels very safe and happy and confidence among familiar people. Horse show may show play behaviour among his familiar animals.;Horse feels scary and reluctant with unfamiliar people and animals. They feel the sense of un-secureness and always pose defensive mode toward the unfamiliar animal/people.     ;Horse suffers from both cool and hot condition. So the horse need a well ventilated stable to maintain a optimum temperature. Moreover the flooring of the stable should able be dry and sandy, so that it could rest comfortably. Obviously the stable should free from flies.;The stomacf horse is very sensitive and also need high energy food. The horse feed should free from any kind of funhal or bacterial infection. Feed should be balance and nutritive enoiugh to maintain its vigour and work pressure.;The Horse should with good body condition, clean eyes, no lamness related problem and no ecto parasites infection to make it weak and sick.  ;Horse show its normal behaviour by its body language. It also manifest normal behaviour by vocalization, urination or running behaviour like maternal care.   Yound animals, even older also show friendly behaviour with its familier peer animals by mutual grooming, playing, rearing tail etc.  ;Horse may show abnormal behaviour in extreme critical condition. The animal may show that kind of behaviour in severely ill, frightened condition.   The animal may put its body weight on hind limb, if it is severely lame.  The animal may bite himself or try to attact people or other animal by biting, when it show rabis infection.   Many of the abnormal behaviour can not be explained, why the horse become aggressive/fearfull to a particular person or attack animal.  The animal may also 
Eng;Veterinarian;Canada;M;41-50;specialization course (master, PhD degree) ;PhD Equine tendon injury;Safe and adequate shelter and fencing Adequate (not over or under nourished) quantity and quality of feeds and water Protection from predators Protection from unsafe activities related to their use in performance activities, sports, recreation and work Use of preventative health measures Use of pain relief and stress management for preventative health and therapeutic health interventions Humane treatment and managment;Raise its head, assess the risk and either remains stationary for further investigation, or if a threat is perceived, takes flight, of if unable to escape, strikes at the threat or some other person or object;Vocalizes, may seek to express escape behaviours such as pacing back and forth, or rearing;Nickers, lowers head, nuzzles, seeks attention, displays curiosity;Raises head, displays evasive or escape behaviour;Apprehension, fear, curiousity;May be apprehensive, frightened, lonely;Calm, content;Fearful or curious depending on the person's demeanour and body language;Evidence of cuts, bruises, abrasions. Coat length, colour (bleaching) ;Body conditions score, faeces;Body conditions score, faeces, feeding behaviour, feet condition, coat sheen;Calm, grazing, able to avoid dominant animals, able to interact positively with other horse mates;Vices such as weaving, cribbing, pawing, wind sucking etc. Fearfulness  
Eng;Veterinarian;Vietnam;M;31-40;specialization course (master, PhD degree) ;Master of Veterinary Public health;"In my country, people commonly use horse for transport (draught horse), for racing; merely for meat (almost no meat).   Horse needs mainly 5 freedoms AS DEFINED IN THE OIE: (1) hunger, thirst and malnutrition; (2) freedom from fear and distress; (3) freedom from physical and thermal discomfort; (4) freedom from pain, injury and disease; and (5) freedom to express normal patterns of behaviour). ";the head will sudden turns to reverse direction to avoid hearing.;If they are same herd, when seperated, a horse might howl (to call) other horse and feel sad.;behavouir of friend and comfort.;Might be to avoid, might fight or want to fight each other.;Horse usually found incomfortable and might be afraid, ;might feel sad.;feeling comfortable and friendly;With unfamilair people, horse sometimes found normal and ignore of persons but mostly feel stranger.;good facilities with roof;Horse feels comfortable and freely have grass in the field, ;it found fit, healthy. With draught horse, it wear iron shoes to prevent hoof pain.;it is normal;none
Eng;Veterinarian;Denmark;F;41-50;specialization course (master, PhD degree) ;DVM M.Sc. Applied Animal Behaviour and Animal Welfare PhD Herd Health Management, animal welfare pigs ;Proper feed and roughage, appropriate housing conditions, opportunity to socialise with familiar horses, time on pasture/paddock every day to exercise and interact freely with other horses. Proper veterinary care if needed. Preventive measures against diseases: vaccination, parasites, teeth. Carefully fitted equipment - harness, saddle etc. Proper breaking and training with gradual building of fitness, applying animal-friendly training methods and positive learning theory.  ;reacts by focusing the attention on the noise: directing ears, eye sight and body posture towards the source of the noise - perhaps stopping other behaviours. Unfamiliar or frightening noises may elicit a flight response with the horse attempting to flee. ;"reacts by vocalising and trying to locate its group mates by sound or sight. The horse tenses and will often run or attempt to flee to rejoin its group. It often reacts ""violently"" if confined..";"behaves calmly and approaches to be in a close distance to the familiar animals/people. It may greet the familiar individuals by vocalising, and sniffing/nuzzling the head or body of the peer, and it may engage in grooming behaviour. However as part of social behaviour the horse may indeed use threat behaviours (bite threat: e.g. ears back, bared teeth; kick threat: e.g. tail switch, lifting of hind leg) to control familiar horses, or to get access to feed or other resources.   ";gets tense. Other unfamiliar horses: It will approach the unfamiliar individual and investigate and they might be friendly or kick, bite, chase each other. Other animals: the horse gets tense and might run/flee depending on the behaviour and perceived danger associated with the unfamiliar animal. ;probably feels nervous and worried if this is a signal of danger. Familiar noises may elicit specific other feelings according to the nature of the noise, as the horse gets accustomed to the noise.   ;feels insecure and frightened. The horse relies on its social group for comfort and security. It gets nervous and frustrated when separated from the group and is determined to rejoin the others. ;feels comparatively secure and at ease. However it can off course also feel annoyed or irritated, protective of feed and resources etc. ;feels nervous and afraid what these unfamiliar individuals may be up to. It may feel the need to protect itself or its surroundings. ;Size of paddock/stall and stocking density. Air quality: dust, fresh air, ammonia. Type and amount of dry bedding material. Injurious equipment or items present, that may harm the horses: broken glass, nails, paper bags, wire etc. Social environment - other horses - contact opportunities as well as protection from aggression. ;Access to roughage. Feeding equipment: hygiene and design. Availability and accessibility of water - cleanliness. Protection from other horses during feeding. Feed kept protected from vermin infestation, and without horses accidentally getting access and over-feeding. Quality of feed and roughage.;Poor body condition. Nose and eye excretion. Skin lesions. Lameness. Coughing and sneezing. Dull haircoat. Horses sweaty. Feed left in crib. Abnormal body postures. Diarrhoea.;Horses respond to humans by approaching or acknowledging their presence. Horses calm. ;Frequent changes in posture. Horses that are weaving or crib-biting or constantly walking around. Horses reacting with aggression or fleeing to the presence of humans. Horses behaving aggressively towards other horses.
Eng;Technician;United States;F;31-40;specialization course (master, PhD degree) ;PhD, Animal Behavior, University of California, Davis;Nutritious feed and clean water, an environment, such as a green pasture, which permits the expression of highly motivated behavior, protection from predators and other threats, shelter and a comfortable bedded area, social companions, proper veterinary care, kind treatment, patient training, regular grooming and hoof care, a preventative health plan including vaccinations and deworming. Fresh air and sunshine.;may bolt, balk or investigate, depending on how loud or frightening the sound is. ;May nicker and try to reinstate social contact.;may approach.;may stop and look.;may feel frightened or curious, depending on the nature of the sound.;may feel threatened and unsure.;may feel affection or indifference, but may want attention or a treat.;may feel unsure, curious, or indifferent, depending on the temperament of the animal and past experiences.;Access to pasture, condition of the pasture, stall size and cleanliness, and safe facilities for working with the horses.;Presence of good quality, fresh hay and grain fed in amounts appropriate the age and working condition of the horses. Access to clean, potable water.;"Overall behavioral demeanor; ability to walk or trot without limping; clean, shiny coat; bright eyes; hoof condition.";Normal gait, expected feed intake, grazing, social interaction, interest and curiosity in novel people or objects, play (run, buck, kick), grooming self or herdmates, alert. ;Laying on side for long periods, kicking at belly, groaning, head down, depression, limping.
