Lingua;Type;Country;Gender;Age;Education;Education_2;q1;q2;q3;q4;q5;q6;q7;q8;q9;q10;q11;q12;q13;q14
Eng;Veterinarian;United Kingdom;M;41-50;specialization course (master, PhD degree) ;PhD in Animal Welfare, Honours Degree in Zoology;"The fitness, health and productivity of donkeys should be protected by adapting their conditions and management to their biology and natural behaviour. They should be given as much access to pasture in the company of other donkeys as possible; stabling should be kept to an absolute minimum. No donkeys should be denied turnout and access to other donkeys. Appropriate shelter must be provided at pasture. Donkeys should be bred for robustness against injury as well as performance. Young should stay with the mothers for several months (at least six) and then be weaned naturally. Breeding procedures involving stress, such as use of restraints like the twitch and hobbles should not be used. Management should be planned to avoid fear and distress from birth to death, which should be humane. Training, riding and driving methods should be based upon positive reinforcement, and should not involve fear, stress or injury.";Will orient to the noise, exhibiting the classic startle response. Depending upon the source, the donkey may flee. Over time, if the source does not result in positive or negative consequences, the donkey may habituate and respond less or not at all to the noise. During the initial startle response, the donkey may experience stress.;Will experience significant stress, exhibiting behavioural indicators such as locomotion, vocalisation, attempts to escape the location, and head back to the herd. Heart rate and respiration rate may rise, as may plasma and salivary cortisol levels. If prolonged, the rise in cortisol may result in immunosupression, making the donkey more vulnerable to infectious disease.;May experience less stress than that discussed above regarding isolation, or indeed no stress. However, this will depend upon the behaviour of the animals or people. If they perform behaviour which does engender stress, the habitution responsible for the reduced response may break down.;May experience significant stress, exhibiting behavioural indicators such as locomotion and attempts to escape the location. Heart rate and respiration rate may rise, as may plasma and salivary cortisol levels. If prolonged, the rise in cortisol may result in immunosuppression, making the donkey more vulnerable to infectious disease. The behaviour of the unfamiliar animal or person may modify this response over time. If the behaviour towards the donkey is neutral or positive it may habituate to their presence. If it is negative it may not habituate, indeed its behavioural and physiological responses to the stress may intensify.;Will feel fear.  If the noise occurs repeatedly the fear felt at each instance may decline over time as the donkey habituates to the noise. If the consequences of the noise are negative (e.g. result in pain, isolation or stress) the fear may intensify.  ;Will feel fear, lasting for the duration of the isolation.;May experience less fear than that discussed above regarding isolation, or indeed no fear. However, this will depend upon the behaviour of the animals or people. If they perform behaviour which does engender fear, the habitution responsible for the reduced response may break down.;May feel fear. The behaviour of the unfamiliar animal or person may modify this fear over time. If the behaviour towards the donkey is neutral or positive it may habituate to their presence and feel less and eventually no fear. If it is negative it may not habituate, indeed its fear may intensify.;Presence and cleanliness of bedding, repair and maintenance of buildings, paddock and equipment.;Cleanliness of feeding and water troughs, access to pasture, quality of feed provided (eg lacking dust and mould). Majority of feed should be pasture and roughage such as hay. Quantity of feed provided. Animals neither obese nor thin. Access to clean water should be ad lib.;Bright eyes, no discharges, no lameness. No lesions or wounds. Normal heart rate, respiration rate and body temprature. No areas of lost, damaged or piloerected coat. Normal faeces and urine colour. Normal interest in surroundings, normal appetite and social behaviour.;Inquisitive and reactive to enviornment, including presence of observer. Not over-reactive to observer- no extreme avoindance responses. Staying with the herd. May approach observer. Normal interest in food.;Extreme avoidance behaviour, extreme reactivity to stimulation. No interest in food or water. Avoiding rest of herd. Stereotypical behaviour. Learned helplessness- ie unresponsive to presence of observer or environmental stimulation.
Eng;Technician;Ghana;M;51-60;specialization course (master, PhD degree) ;PhD, Agricultural Engineering;Good management and care (shelter, feed, health facilities), training and work/exercise in some cases.;Unfamiliar  or loud noise could make a donkey to become agitated, nervous, vocalise, urinate or even unconcerned.;Could be lonely, agitated, vocalise, stmping, or unconcerned;Happy by jumping and making friendly gestures or may be quiet.;Could be agitated, vocalise, urinate, run away or be quiet.;Agitated, run away or quiet;Quiet or agitated;Quiet, or unconcerned;Agitated, quiet, vocalise or run away;Type of structure, material and size;Kind, roughage and concentrate;Conformation;Vocalisation, feeding, standing, etc;Loud vocalisation, frequent urinating, stumping etc
Eng;Farmer;United States;F;31-40;specialization course (master, PhD degree) ;Michigan State University, PhD studying donkey management and welfare in developing countries;Adequate food, water and amply space to move around.  Ideally, not too much food so it doesn't become obese.  Donkeys also generally enjoy the company of others, so a mate would be good.;generally perks its ears in the direction of the noise and may raise it's head and neck and turn according to which direction the noise is coming from. ;depending on the donkey but if its use to living a lone then one will not see any change in behavior but if its use to having other donkeys for company, then it will pace up and down the fence, and bray;is gentle and may seek affection;donkeys are usually curious and stand offish to people they don't know and may even charge or run towards an animal it doesn't recognize;may feel threatened or intrigued and curious about the situation;a donkey may feel panicked and vulnerable to be alone as well as isolated and lonely;seems to be comfortable or at ease;a donkey may be on alert and ready to attack or leave;are the conditions clean and free of excessive mud, manure and bedding.  how's the condition of the fence? ;what is the donkey eating? is the pasture too lush or is he deprived of fiber and eating trees and the wooden fence or barn? Where's its water? Does it have salt. are there any signs of feeding it, such as buckets or hay feeders or fibers of hay left;what's the overall body condition of the donkey? Does it have lice? Are flies eating away at its legs? ;what's the donkey's demeanor and ear position? ;is the donkey alone or by itself away from the group? is the donkey hanging it's head low? Or is the donkey extremely interested in something else going on?
Eng;Veterinarian;Germany;F;21-30;university degree ;BSc Equiine Science;daily turn out, enough feed, contact to conspecifics;might look at it? might be scared?;might be scared;should feel comfortable;might be scared;might be scared;might be scared;should be relaxed;might be scared;ground condition, size, how clean;feed quality, amount of feed given;coat, overall condition, condition of feet;?;?
Eng;Farmer;Australia;F;51-60;university degree ;Bachelor Applied Sc Bachelor Ed Grad Dip Ed currently doing Masters;companions feed  water shelter ;becomes alert looks up and investigates with their eyes ears and nostrils;attempts to returnt to herd;wants to be close and be petted and grazes peacefull or sleeps or sits and relaxes;is alerted eyes ears  nose investigates the object will either un away or will approach and investigate;alereted and on guard ready for action if a fmailiar noise donkey will approach or conitnue to graze;worried  scared;safre cofortable peaceful;alerted anxious;ground cover - clean dry well drained adequate shelter made from building or trees;dry well drained area no old feed lying on ground not muddy or wet;ears eyes nose - look for any signs of ill health or discharge manure - formed hard in neat piles able to walk and move correctly;grazing, sleeping, standing in shade / shelter ;braying running around tgrying to return to herd running away from unfamiliar object
Eng;Farmer;Denmark;F;51-60;university degree ;Bc.A in psycology.;outdoor space whitout too much grass. Strict diet. Farrier visit every 4-6 weeks depending on the conditions it lives in. A dry shelter or stabel. A equine companion - preferably a donkey. Acces to clean water. Something to do.;...Stiffen and listen very carefully. Looking in the direction of the sound. If scared the donkey will run for a short distance, and then turn to look in the direction of the sound.;Bray. Try to find a companion if possible. If totally isolated he will eventually get depressed if he dosen't have som kind og companion.;...with humans he is, if treated kindley, cuddely and curious. Donkeys like people, and company. Donkeys also bond tightley with other donkeys.;..If not abused, he will be curious. Unfamiliar animals make him uneasy but curious.;...if the noise is unfamiliar he will be uneasy and/or curious.;...will feel lonley and depressed.;...if not abused he will feel safe and curious. Or indifferent.;...if not abused, he will be curious and frindley. Or he will feel uneasy and check it out.;Shelter from rain, snow and wind. Dry footing. A pasture without too much grass.;..the donkeys condition. Is he fat or skinny? Is the hay or straw og good quality.;..his weight, his fur, his hooves, is he lame or moving in a normal way.;Is he interested in his surroundings. Is he moving about or just standing/lying. Is he bonding with the other donkeys (which i presume is there)Does he eat normally or is there signs og problems with his teeth. Does he express subtle signs of pain.;"Lameness, standing in the ""founder position"" is he timid, does he lie down most of the time, is he very agressive, is he afraid of people, does he socialize in the group."
Eng;Farmer;United States;F;51-60;high school ;high school is all;same as a horse or any other animal;not sure imagine like a horse;not sure;not sure see horses;not sure see horses;not sure;not sure;not sure;not sure;same as horses;same as  horses;same as horses;same as horses;same as horses
Eng;Technician;United States;F;21-30;specialization course (master, PhD degree) ;Master of Science: Animal Science;Clean, safe, healthy living quarters with adequate soace for resting.;may perk up their ears and become more alert.;may behave slightly more agitated or stressed.;will behave calmly.;may behave slightly stressed.;may feel startled or inquisitive.;may feel stressed.;will probably feel more relaxed.;may feel stressed.;Clean, dry bedding and enough space for comofortable lying, social and active behvaiours. Lighting, air quality, temperature, noise, social structure.;Quantity and quality of feed. Feeding space per animal and conditions of feeding space.;Condition of eyes, ears, teeth, coat. Body condition score, gait score, lesion scores (if applicable). Behaviour of animal and response to physical examination.;Alert, inquisitive, normal head carriage, eyes, ears and tail perky and not tucked in/closed.;Dull, apathetic, jerky/jumpy movemements upon examination, tucked in tail, eyes closing, ears flattened.
Eng;Farmer;United Kingdom;F;31-40;specialization course (master, PhD degree) ;PhD Infectious diseases BSc Biology  PG Cert Animal Welfare;Correct diet (entirely forage - maily straw with limited high quality fibres such as hay or grass) Shelter (from rain / wind / sunshine) Dry area to stand for feet (they can become waterlogged) Companionship of other donkeys Exercise and mental stimulation Access to healthcare (foot trimming, vaccinations, dentsitry, de-worming if appropriate) ;will normally react by freezing and standing alert and refuse to go forwards.  The donkey may then choose to flee or may choose to walk towards noise and investigate.  The donkey will not exhibit extreme behaviours like horses.;Will become distressed in the beginning,vocalisation, fence running, trying to relocate its friends donkeys are social animals and do not like to be separated from a bonded companion.  After a while the donkey may accept being on its own but may be depressed or anxious (it will only show these signs subtley);Is relaxed and contented, will rest, play, eat, socialise.  Donkeys are very social animals and enjoy contact.;May be aggressive or as more frequently happens will be welcoming of new animals / people and inquisitive.  Aggression towards new herd members (if donkeys) is unusual.;Interested, anxious;Anxious, upset;Relaxed, contented;Inquisitive, accepting;Appropriate shelter with protection from rain / wind / sunshine Appropriate flooring with some hard standing Appropriate bedding (straw, woodshavings) that is clean and dry and deep enough for the donkey to lie down Adequate size of entrance to prevent injury Adequate headroom (ear clearance!) Of strong construction (not corrugated iron in warm climates!) Clean and well maintained No protruding objects (e.g. nails) ;Majority low energy fibre ad libutum e.g. straw Limited grazing (strip grazed, grazed with other species) Limited hay or haylage in winter months No cereals Concentrates only for underweight aninals, only fibre based if required Access to an equine specific mineral lick Access to safe browse, e.g. branches, hedgerows ;Clean, well cared for coat Up to date vaccinations (minimum tetanus), dentistry (at least once per year), foot trimming In good body condition (not fat!) Bright and interested in surroundings Minited insect challenge Not stood in mud all the time Well cared for feet without thrush, excessive seedy toe etc.. Stable weight;Interested in surroundings, inquisitive and seeks out novel people, animals Socialising e.g. rolling, playing, grooming Foraging behaviour Resting - happy to rest lying down  Limited overt aggression in group (no excessive aggression over food sources or other resources) No stereotypical behaviours (these are extremely uncommon in donkeys even when exhibiting abnormal behaviour) Normal eating / drinking;Abnormal eating / drinking (may sham eat) Depressed demeanour (lowered head, lowered ear carriage, lack of ear movement) Lack of interest in surroundings Excessive vocalisations Extreme agitation (this may not be extreme if compared to horses) Aggression to humans, other equines (NOT to smaller species e.g. dogs, this is normal behaviour!) Very rarely stereotypical behaviours - box walking, cribbing)
Eng;Farmer;Canada;F;41-50;university degree ;college degree in Veterinay technology ;they are social so other animals ie sheep, llama, horse  freedom to move about  clean water, feed  shelter  feet trimmed  deworming  ;investigate, nothing or be startled and fight or flee ;depressed anxious at first, calling  attempt to reunite itself  off feed  pacing ;fine if well socialized  do not like canids generally ;leary with people if not well socialized  aggresive with canids and other animals that they feel are a threat.   Generally ok with horses and species they have been around such a sheep even if they don't know that particular sheep. ;investigate, nothing or be startled and fight or flee ;depressed anxious at first, calling  attempt to reunite itself  off feed  pacing ;fine if well socialized  do not like canids generally;leary with people if not well socialized  aggresive with canids and other animals that they feel are a threat.   Generally ok with horses and species they have been around such a donkey even if they don't know that particular donkey.;repeated on previous page ;repeated on previous page;repeated on previous page;repeated on previous page;repeated on previous page
