Lingua;Type;Country;Gender;Age;Education;Education_2;q1;q2;q3;q4;q5;q6;q7;q8;q9;q10;q11;q12;q13;q14
Eng;Farmer ;Australia;F;31-40;specialization course (master, PhD degree) ;Animal Science;Suitable nutrition, protection from predators, conspecifics, mental stimulation;Depends on the noise.  Goats will frequently perform investigative behaviour.  Loud sharp noises may elicit startle or flight behaviour;Will vocalise, search for flock mates;Approach, follow, rug against, nibble;Keep their distance.  Be vigilant. ;Frightened or curious depending on the noise;Anxious;Calm;Anxious/curious;Protection from predators, shelter from rain/ sun;Pasture cover, condition score;Condition score, signs of disease/illness- eg recumbent individudals, isolated individudals;Grazing, resting;Isolated individuals, unexplained locmotory behaviour
Eng;Technician ;Iran (Islamic Republic of);M;41-50;specialization course (master, PhD degree) ;phd degree;healthy feed and water plus well management knowledge;looking at noise side;quick running to any side;comfort behaviour;aggressive behaviour;movement of ears;going to any side;friendly behaviour;agressive behaviour;well designed;well managed;well organized;good behaviour;aggressive behaviour
Eng;Farmer ;Netherlands;M;>60;high school ;;A goat needs clean water, balanced feeding, and a dry place tostay.;When she hears a strange noise she will putup her ears, stands up an starts sneezing and eventually will run away from the source of the noise. ;If she isolated herself, most probably she is sick.If she is fit,and was isolated by the farmer she wants to return to the flock. ;The goat will behave familiar. ;She will put up her ears and look allerted.;is scared.;She feelds lonely and sad.;she is happy.;she feels allerted.;Is the bedding dry, is the feeding area clean, and what about the ventilation ? ;The general condition of the goat.;Are there animals separated from the flock? What is the condition of the skin. Are the goats moving easily(no problems on walking)Animals separated with dropping ears?;The goat is giving attention to you. If anyone strange enters the flock she will be alert and curious. Once she sees things are okay, she should continue doing her normal things.;"The whole flock runs away and stays far away from the ""new"" situation."
Eng;Veterinary ;United Kingdom;M;41-50;specialization course (master, PhD degree) ;PhD in Animal Welfare, Honours Degree in Zoology;"The fitness, health and productivity of goats should be protected by adapting their conditions and management to their biology and natural behaviour. They should be given a varied environment with loose material and other enrichments and as much outdoor space as possible, with pasture or browse at least during the growing season.Goats should be bred and managed for robustness and for ease of birth; this is particularly important where meat production is integrated with dairying. Young should stay with the mothers for several months and then be weaned naturally. Management should be planned to avoid fear and distress from birth to slaughter.";Will orient to the noise, exhibiting the classic startle response. Depending upon the source, the goat may flee. Over time, if the source does not result in positive or negative consequences, the goat may habituate and respond less or not at all to the noise. During the initial startle response, the goat may experience stress.;Will experience significant stress, exhibiting behavioural indicators such as locomotion, vocalisation, attempts to escape the location and head back to the flock, and may tremble. Heart rate and respiration rate may rise, as may plasma and salivary cortisol levels. If prolonged, the rise in cortisol may result in immunosupression, maming the goat more vulnerable to infectious disease.;May experience less stress than that discussed above regarding isolation, or indeed no stress. However, this will depend upon the behaviour of the animals or people. If they perform behaviour which does engender stress, the habitution responsible for the reduced response may break down.;May experience significant stress, exhibiting behavioural indicators such as locomotion and attempts to escape the location and may tremble. Heart rate and respiration rate may rise, as may plasma and salivary cortisol levels. If prolonged, the rise in cortisol may result in immunosuppression, making the goat more vulnerable to infectious disease. The behaviour of the unfamiliar animal or person may modify this response over time. If the behaviour towards the goat is neutral or positive it may habituate to their presence. If it is negative it may not habituate, indeed its behavioural and physiological responses to the stress may intensify.;Will feel fear.  If the noise occurs repeatedly the fear felt at each instance may decline over time as the goat habituates to the noise. If the consequences of the noise are negative (e.g. result in pain, isolation or stress) the fear may intensify.;Will feel fear, lasting for the duration of the isolation.;May experience less fear than that discussed above regarding isolation, or indeed no fear. However, this will depend upon the behaviour of the animals or people. If they perform behaviour which does engender fear, the habitution responsible for the reduced response may break down.;May feel fear. The behaviour of the unfamiliar animal or person may modify this fear over time. If the behaviour towards the goat is neutral or positive it may habituate to their presence and feel less and eventually no fear. If it is negative the goat may not habituate, indeed its fear may intensify.;Presence and cleanliness of bedding, repair and maintenance of buildings and equipment.;Cleanliness of feeding and water troughs, quality of feed provided (eg lacking dust and mould). Quantity of feed provided. Animals neither obese nor thin.;Bright eyes, no discharges, no lameness. No lesions or wounds. Normal heart rate, respiration rate and body temprature. No areas of lost, damaged or piloerected coat. Normal faeces and urine colour. Normal interest in surroundings, normal appetite and social behaviour.;Inquisitive and reactive to enviornment, including presence of observer. Not over-reactive to observer- no extreme avoindance responses. Staying with the flock. May approach observer. Normal interest in food.;Extreme avoidance behaviour, extreme reactivity to stimulation. No interest in food or water. Avoiding rest of flock. Stereotypical behaviour. Learned helplessness- ie unresponsive to presence of observer or environmental stimulation.
Eng;Farmer ;United Kingdom;F;41-50;university degree ; Biochemistry/Chemistry B Sc ;Good food/grazing , access to water at all times, company of other goats , stimulation;Is nosy, they will want to see what is causing the noise, but will run from load noises;Gets distressed and will seek her companions;Is very friendly;If treated well goats are friendly with everybody;Inquizative , maybe threatened;Will feel threatened, isololated;will feel calm and inquizative;Should have no fear;Overcrowded  ;Good, provided with both good grain and good hay;Okay;The are inquizative and friendly;They are frustrated , fighting with each other
Eng;Farmer ;United States;F;51-60;university degree ;Bs in Allied Health;"Fresh pasture for grazing, excellent fencing to keep them safe given their excellent ability at escape, companionship preferably of other goats but sometimes other animals will do, twice daily dietary supplementation including mixed grains, access daily to a mixed mineral ""salt"" block, daily inspection of coat for health. This is a good time to get to know your goat so when illness or disease strike you have a good understanding of your goats personality and basic health. Hooves should be cleaned and inspected once a day and feet trimmed every other month. When kids are born the decision needs to be made whether or not to castrate the bucks and at approximately six weeks horn buds need to be burned to encourage proper horn growth or absence if horns are not desired.";Throws their head up, looks in the direction of the noise, often will bleat to alert the others in the herd and last bolt and run away. If there are kids in the group the adults often will circle around the kids in an attempt to protect them from a threat.;Will bleat and bleat and bleat. They will also attempt to climb on the highest point in the vicinity to see if they can see any herd mates. If they are isolated for days they will often stop eating and become depressed.;Will trot over to greet them, wag their tails briskly, bleat a hello. If a fence is in between them the goat will stand with their front feet on the fence so they might see the other animal/person better. If they greet you in the pasture they will trot up, wag their tails briskly and stand very close, sometimes they will butt. ;will raise their heads to see them better, will gather around to smell them better. If they feel threatened they will run away.;Often feels curious, if danger such as a predator is present they feel threatened and frightened but they also have great courage and will band together to protect their children. If doe goats hear the sounds of a pregnant goat in labor the does that have had kids understand what is about to befall the laboring goat. They feel compassion for her and those who have had kids before will gather around the goat in labor and encircle her. The alpha doe will stand in front of the laboring doe with their foreheads pressing against each others. As the laboring doe makes the stressful noises of birth the alpha doe will make low, soft, murmuring sounds to comfort her and help her feel less alone and afraid. It's wonderful to see.;Will feel very depressed. They feel very lonely without their companions and will eventually stop eating and can eventually die. They feel vulnerable by themselves and also feel a deep need to be part of the social order of their herd.;Feels safe and secure and feels very happy when they see familiar animals or people that they haven't seen for a few days. They enjoy celebrating and playing with people and animals that they are bonded with.;Feels stand-offish and suspicious. With very little provocation they feel fear.;Access to at least a three sided enclosure to provide shelter from the weather although a four sided enclosure with a nice wide door for walk-in is better. The door should face opposite of the direction that bad weather typically approaches from. There should be clean straw on the ground that is changed and freshened every week. The roof should be very secure since the goats will climb all over it if A possible. If there are more than four or five goats in the herd the enclosure will also need some type of venting in the roof to make sure ammonia gas doesn't build up from urine and straw composting. Also trees or bushes for them to get shade from the sun is good to have.;A very strong, firmly mounted manger for supplemental hay. Access to a multi-miineral salt block. Appropriate amount of pasture grass for number of goats in herd as well as plenty of brows such as shrubs, bushes, trees for roughage, variety, vitamins and minerals. Constant access to fresh, clean water. In cold weather there should be a place off the ground to offer grain.;I would assess their overall condition. I would make sure that their ribs aren't showing and they don't look gaunt. I would look at their coats and make sure that their coat isn't dry, hair not falling out. I would look at their feet and make sure their feet don't smell because of fungus rot. Make certain hooves aren't overgrown and are properly trimmed. If possible I would try to touch the goats to make certain they don't have any tumors or cysts and to get close enough to look at their eyes to make certain that they are clear and that their noses aren't runny. I would also asses for any obvious signs of parasites such as the presents of worms. If I can get close enough I would also like to smell their breath. A heathy goat has nice, sweet breath.;I would want to see climbing, butting, galloping, bucking, playing and jumping in kids and adolescents. Grouping, climbing, group migrating and group observation by the adults. Going to investigate something curious together or running away together..;Herd members standing off alone not together. Running from danger in opposite directions in a scattered way. No playing, no climbing, no rough housing. No verbalizing together. Standing with their backs to the other goats, ignoring the other goats.  Acting listless and dull. Not eating. Eating the hair on their legs or eating their manure.
Eng;Veterinary ;United States;F;51-60;specialization course (master, PhD degree) ;Doctor of veterinary medicine;Good food , adequate shelter, clean water, basic vaccinations, parasite control;Shows alert-head up, ears up watchful;Try to rejoin group-lone animals are easy prey;Eats, sleeps plays normally;Investigates, curious. Avoids perceived predators;Alerts-head up ears up. Ready to run;Seeks to Rejoin group safety;Sniffs, nibbles, head butts proceeds to eat, sleep normally;Alerts, sniffs, head butts,  ;Clean dry. Free of projections or items that may injure;Clean, smells good;Good weight, slick hair, alert, playful;Eating, jumping, ruminating;Ears down, head down, eyes dull, not eating. Not up and around
Eng;Farmer ;United States;F;51-60;high school ;high school is all;love, food, clean area and atmosphere;runs to their owner, or safety;bleep an search for them;lay down chewing their cud and is content;walks around and bleeps;will run for safety;walk in search of them;content.. lays down and chews;curious and will walk up to whatever and check  it out;clean and draft free. ;plenty of fresh water and good food;veterinarian care, feed trimmed, grooming, etc;walks around with ya like a dog;runs around bleeping
Ita;Veterinary ;Italy;M;41-50;Formazione post universitaria (master, scuola di specializzazione o dottorato ) ;laurea in medicina veterinaria, specializzazione in ispezione degli alimenti;enough availability of food and a quite environment;alert and waiting position;bleats and look for the group;it proceeds normally in its activities;he scrutinizes in a curious and curious way, and moves back to a position of control;after the initial alert, an exploration phase;tends to look for the other members of the group in order not to remain isolated;normality;it tends to control the unknown element, even through exploration;state of litter and availability of food, water and bedding status;general physical state of animals;conditions of the coat and of the behavior;peaceful and tending to explore the environment especially in the neighboring parts of the pasture;excessive restlessness, bleating frequent wide-open eyes, high respiratory frquenza, the opposite state of depression and prostritude, apathy
Ita;Farmer ;Italy;M;21-30;Scuola secondaria: Scuola professionale per l’agricoltura;;you need a good shelter, an excellent level of sanitary litter and environment, tranquility, excellent nutrition, lighting and sufficient ventilation and so many care of the breeder;run away in the most sheltered corner;  bleats, wants to return with the flock, look for the way to escape, in the long it becomes tanquid;leads a normal and peaceful life; he agitated and then intrigued wants to understand \ explore the new subject;fear;abandonment;tranquility;fear, curry;the amount of space available, if the animals are tied or free, the state of the lettira;what kind of power they have at their disposal and the quality of it, the presence of clean running water;if there are animals alone, that do not eat, with the hair straight, hunched forward, swollen, that do not ruminate, that tremble;a goat that eats with desire, or that is lying to ruminate or that is moving in search of food;animals that are not well, lame or evidently ill badly fed
