Lingua;Type;Country;Gender;Age;Education;Education_2;q1;q2;q3;q4;q5;q6;q7;q8;q9;q10;q11;q12;q13;q14
Eng;Veterinarian;Norway;M;51-60;university degree ;Veterinarian;Enough and good enough feed and water, a dry place to lay down and an environment it feels safe with;will try to escape by running away;will run around and search for the rest of the flock (depends on the breed how strong this need is);will be calm and friendly and focus on eating;will raise its ears and be on guard;will feel fear;will feel uncomfortable;will feel comfortabe and safe;will feel uncomfortable;Are the sheep dirty and wet?;How is the body condition (body score)? Are the sheep very interested if they get access to feed?;How is the body condition? Does the sheep eat normaly?;They are quiet and focus on resting or eating;They are running around and don't focus on eating or resting
Eng;Farmer;United Kingdom;M;51-60;university degree ;MA Engineering;adequate diet, ideally pasture based space to move about and graze freedom from disease and parasites shepherding to give routine care and deal with accidents and illness;will run to mob up with the rest of the flock;will call out and try to get back to the flock;may take little notice or show some curiosity;will be wary and tend to flock together and move away;might be alarmed and fearful;will be stressed and may panic;will not feel threatened and will remain calm;is likely to feel threatened and fearful;fresh air dry bedding;appropriate body condition for time of year;clear and healthy skin and fleece lack of lameness bright eyes, alertness and good mobility;normal grazing and ruminating flight response to unfamiliar stimulus, with whole flock grouping together ;excessive bleating, abnormal posture isolation from rest of flock dullness, lack of response to stimulus
Eng;Farmer;Great Britain;M;>60;high school ;;good quality forage and water;Will gather towards other sheep in the flock;BECOME FRIGHTENED AND INSECURE  TRY TO FIND OTHER SHEEP  MAY BLEAT;IS CONTENTED ENOUGH;NOT VERY HAPPY ,MAY BLEAT;WILL LOOK UP;BECOME AGITATED AND BLEAT;IS OK;NOT SO HAPPY;DRY AND WELL BEDDED WITH VENTILATION;ALL THE FLOCK COME TO FEED;FEEDING NORMALLY AND RUMINATING;HEAD UP AND ELERT;BLOWN UP BELLY WITH LEGS IN THE AIR
Eng;Veterinarian;Sweden;M;51-60;university degree ;MSc Veterinary Medicine;Outdoor grazing, daily supervision, recognition as an individual rather than a flock.;tries to identify the source and to decide if it is a danger or a fiendly situation.;gets stressed and looks for a way to return to the flock.;can be very friendly and contact seeking.;is suspicious and keeps a distance.;feels cautious until it is convinced there is no danger.;feels uncomfortable.;wants to be close.;is suspicious and keeps a distance.;cleanliness, bedding, feeding and watering possibilities, available area per animal, ventialation/air quality, size and construction of the door opening for pasture, ground condition of the outddor area next to the stable.;How many animals can eat at the same time, the amount and quality of given feed, feeding roputines and intervals, supervison of the animals.;Separated animals, unnormal behaviour in animals, lameness, unusual body postures in animals, coughing, fur/skin condition, eating behaviour, body weight.;feeding behaviour, following the flock, normal walking patterns.;Isolated animals, unusual body postures in animals, reluctans to eat or difficulty to follow the flock.
Eng;Veterinarian;United Kingdom;M;41-50;specialization course (master, PhD degree) ;PhD in Animal Welfare, Honours Degree in Zoology;"The fitness, health and productivity of sheep should be protected by adapting their conditions and management to their biology and natural behaviour. They should be given a varied environment with loose material and other enrichments and as much outdoor space as possible, with pasture or browse at least during the growing season.Sheep should be bred and managed for robustness and for ease of birth; this is particularly important where meat production is integrated with dairying. Young should stay with the mothers for several months and then be weaned naturally. Management should be planned to avoid fear and distress from birth to slaughter.";Will orient to the noise, exhibiting the classic startle response. Depending upon the source, the sheep may flee. Over time, if the source does not result in positive or negative consequences, the sheep may habituate and respond less or not at all to the noise. During the initial startle response, the sheep may experience stress. ;Will experience significant stress, exhibiting behavioural indicators such as locomotion, vocalisation, attempts to escape the location and head back to the flock, and may tremble. Heart rate and respiration rate may rise, as may plasma and salivary cortisol levels. If prolonged, the rise in cortisol may result in immunosuppression, making the sheep more vulnerable to infectious disease.;May experience less stress than that discussed above regarding isolation, or indeed no stress. However, this will depend upon the behaviour of the animals or people. If they perform behaviour which does engender stress, the habitution responsible for the reduced response may break down. ;May experience significant stress, exhibiting behavioural indicators such as locomotion and attempts to escape the location and may tremble. Heart rate and respiration rate may rise, as may plasma and salivary cortisol levels. If prolonged, the rise in cortisol may result in immunosuppression, making the sheep more vulnerable to infectious disease. The behaviour of the unfamiliar animal or person may modify this response over time. If the behaviour towards the sheep is neutral or positive the sheep may habituate to their presence. If it is negative the sheep may not habituate, indeed its behavioural and physiological responses to the stress may intensify. ;Will feel fear. If the noise occurs repeatedly the fear felt at each instance may decline over time as the sheep habituates to the noise. If the consequences of the noise are negative (e.g. result in pain, isolation or stress) the fear may intensify. ;Will feel fear, lasting for the duration of the isolation. ;May experience less fear than that discussed above regarding isolation, or indeed no fear. However, this will depend upon the behaviour of the animals or people. If they perform behaviour which does engender fear, the habitution responsible for the reduced response may break down. ;May feel fear. The behaviour of the unfamiliar animal or person may modify this fear over time. If the behaviour towards the sheep is neutral or positive the sheep may habituate to their presence and feel less and eventually no fear. If it is negative the sheep may not habituate, indeed its fear may intensify. ;Presence and cleanliness of bedding, repair and maintenance of buildings and equipment.;Cleanliness of feeding and water troughs, quality of feed provided (eg lacking dust and mould). Quantity of feed provided. Animals neither obese nor thin. ;Bright eyes, no discharges, no lameness. No lesions or wounds. Normal heart rate, respiration rate and body temprature. No areas of lost, damaged or piloerected coat. Normal faeces and urine colour. Normal interest in surroundings, normal appetite and social behaviour. ;Inquisitive and reactive to enviornment, including presence of observer. Not over-reactive to observer- no extreme avoindance responses. Staying with the flock. May approach observer. Normal interest in food. ;Extreme avoidance behaviour, extreme reactivity to stimulation. No interest in food or water. Avoiding rest of flock. Stereotypical behaviour. Learned helplessness- ie unresponsive to presence of observer or environmental stimulation. 
Eng;Veterinarian;India;M;41-50;university degree ;Masters;Do you mean why does a sheep need to be fit?  Without being fit, sheep welfare can never be optimal under current farming conditions;Looks towards the noise or may respond with flight response immediately;Restless....voice..may reach out;Responds positively;Restless...;frightened;restless...;responds;move away;drainage and cleanliness;availability and accesss;Body condition and abnormalities;Able to walk around soundly;Laying down 
Eng;Technician;Iran (Islamic Republic of);M;41-50;specialization course (master, PhD degree) ;phd degree;suitable feed and well management skills;claim with ears;quick movement;comfortable behaviour;aggressive behaviour;looking at noise side;uncomfortable movement;comfort behaviour;aggressive behaviour;well designed;well designed;good managemnet;well behaviour;to be changed
Eng;Veterinarian;Romania;M;>60;university degree ;Veterinary Faculty in Bucharest Animal welfare specialization courses in RSPCA-London;1.the specific and realistic indicators for pain and other disturbative factors for animals have to be established 2.the animal welfare guide to be drawn up based on practical indicators for welfare and auxiliary acts of reglementation to be iisued and applied 3.the animal welfare guide to be in place 4.the welfare guide to be spreaded among farmers and steakholders as well as among backyards owners, 5.a consistent training program with veterinarians in the field(state and private vets)farmers and steakholders as well as among backyards owners,to be performed and applied 6.the farmers and steakholers to be convinced to spend a certain amount of money for fulfiling animal welfare conditions and regulations,being convinced that this expenditure is recovered through health and production of animals, ;has to react depending the source of the noise.If the noise involves some positive aspects eg.noise of feeding the reaction is to accept this noise with interest,if the noise is unexpectidelly or harming for a sheep it has to react as defending approach;it has to react against such a handlingand after isolation, by vocal approach and a starvation approach;bu an acceptance approach ,joyness and facies expresion;havind a defending approach or being against these, or running;The answer is done in position above Whither the noise is a positive noise with the tendence to be closer to the source of noise or veic-versa;The answer is done above;The answer is donw above;the answer is donw above;Sheep are very resistent to bad climatic conditions.So their requirements for housing are not so strict like pigs or veals or horses.But some rules are to be observed: -separate males from females during gestation,farowing and lactation periods -separate pregnant shep from unpregnanat sheep durin gestation,farowing and lactation -ensure enough pasture season at mounteenering area -no special housing conditions but an amount of straw has to be supplied, excepting last stages of gestation ,farowing and one month after, for lambs;-the spring,summera nd autumn pasture is essential -a particular feeding approac during last stage of gestation and the first month after farrowing;-vaccination against antrax -estabilshing specific health surveillance measures have to by drawn up and applied in the framework oh National Strategic Surveillance Programme for Animal Health and Welfare;-a friendly approach in relation with owner or farmers,frequently with other people that is specific for sheep -no scared manifestation -productive and reproductive indicators;-they are scared about every noise -facies is most expresive for abnormal behaviour in sheep -runnind and sometimes hidding
Eng;Farmer;South Africa;M;51-60;university degree ;Bachelor of Engineering;Food and water. Free from diseases and paracites. A non stressful environment. Protection against predation.;Depends on the noise. Noises they are used to are ignored while other noises cause the flock to bunch together.;If the sheep moved away on its own to select other food it will remain there of its own free will. If it was seperated by some intervention be it the farmer or a predetor it will try and reunite with the flock.;Will carry on grazing as if the animals or people where not there but will keep an eye on the animal or people.;Will bunch together in a flock if possible and if not will run away.;I think a sheep's feeling can only be judged by their behaviour and so the answer will be the same as above in that if they carry on doing what they were doing they will be feeling unstressed and if the bunch up or run there is varing degrees of stress.;Same as above;Same as above;Same as above;Sufficient space. Good ventilation. Not too wet underfoot.;Sufficient quality and quantity. If being supplimented sufficient trough space.;Free of disease or paricites.;Animals are resting or moving about slowly grazing would be good behavior.;Animals running about or bunched up in a small section of the paddock
Eng;Technician;Canada;M;41-50;specialization course (master, PhD degree) ;PhD Equine tendon injury;adequate feed and potable water shelter from extremes of weather protection from predators ability to express normal behaviours pain relief and stress management for preventative and therapeutic health interventions disease prevention programs humane handling at all times;Move away, forming a group which continues to move away until there in no perceived threat;May react fearfully and display escape behaviors, seeking to rejoin the flock if there is a perception of danger. The young are more likely to vocalize.;May approach with curiosity, or food seeking behaviour if the person is associated with feeding. People who are frequently around the sheep may be observed, but not reacted to in a fearful manner.;May move away, fearful. If the person assumes a cowered (predatory) posture, escape behaviours may be more marked;Watchful, fearful;Fearful if a threat is percived;Indifferent;Fearful;If animals arr able to seek shelter in inclement weather, or shade in the heat of the day;"Body condition; quality of faeces; vigour of lambs";"Body condition; quality of faeces; vigour of lambs";"Grazing; staying with the flock; evading noxious stimuli";"Not grazing; not able to stay with or lagging behind the flock; indifferent to noxious stimuli; recumbent; lame; circling"
