Lingua;Type;Country;Gender;Age;Education;Education_2;q1;q2;q3;q4;q5;q6;q7;q8;q9;q10;q11;q12;q13;q14
Eng;Technician;United States;F;31-40;specialization course (master, PhD degree) ;PhD, Animal Behavior, University of California, Davis;An environment that permits expression of highly motivated behavior, nutritious feed, clean water, veterinary care, shelter, protection from predators and other threats, environmental enrichment, social companions, kind treatment, competent care, careful handling.;may gobble, look, run or investigate.;may try to reinstate social contact. ;may approach or be indifferent.;may look or run. Or may be indifferent. If curious, may approach.;may feel frightened, indifferent or curious, depending on the noise.;may feel vulnerable. ;may feel indifferent or curious. ;may feel cautious or wary.;an environment that provides enough space for the turkeys to move freely, access to the outdoors, safety from predators, secure indoor housing.;Nutritious feed formulated for the proper stage of growth. Clean, potable water. ;"bright eyes; alert demeanor; curious nature; full plumage; good walking ability; absence of sores, scrapes and cuts; healthy feet.";"Regular vocalizations; normal walking; investigative nature, ";Off feet, not eating as expected, overly aggressive, limping
Eng;Contract farmer;Poland;F;41-50;university degree ;academy of agricultural;In my opinion a flock needs appropriate light, humidity, ventilation,density, feeding-nutrition program, prevention;young turkey escapes, adult turkey ruffles feather,;a turkey sitting;a turkey behaves in a normal manner;its behave is normal;Young turkey is frighten, adult turkey is interestig in;a turkey is under stress;a turkey feels comfortable and safe;a turkey is not frighten,;clean and dry litter, density, group size, lightning, ventilation, temperature;diarrhoea, signs of hunger - picking, pecking litter, walking, interesting in man, standing;interesting in nothing, sitting or standing, breathing difficulties,  ;interesting in everything, walking or running, appetite, ;sitting, without movement, disinterest, injuries,
Eng;Veterinarian;Poland;F;31-40;university degree ;Veterinary Medicine ;The flock needs an adequate physical and social environment: ( group size, density, space availability, maturation, lightning, feeding and transport);is becoming aggressive which can develop into intense sparring. This happens especialy when the noise is some kind of high-pitched trill ;becomes very distressed since turkeys are highly social birds;behaves  in a normal manner (socially). Expression of a behaviour by one animal increases the tendency for this behaviour to be performed by others.;can attack the stranger. Placing an alien into an established group will result in that individual will be attack. ;feels unsafe, needs to protect the group by preparing to the battle;feels unsafe as well, and lost. ;is a part of an established group. Can easily show a 'comfort' behaviours such as wing-flapping, feather ruffling, leg stretching and dust-bathing.;is endangered, anxious. That is why it becomes agressive.;density, group size, space availability, temperature and humidity (the difference in in/out temperature),lighting ;signs of hunger and frustration: oral activity, standing, walking and preening behaviour, ;gait scoring, presence of injuries, wings and feathers condition, weight,;"wign-flapping, feather ruffling, leg stretching and dust-bathing, flying on short distances,  frivolous running  (young birds);";aggression, feather pecking, cannibalism, injuries, exhibition of agression 
Eng;Veterinarian;Canada;F;51-60;specialization course (master, PhD degree) ;Masters in animal welfare ;space, something to do (i.e., environmental enrichment);tries to escapte ;be fearful ;will perform normal behaviour ;will be difficult to handle ;tries to flee ;becomes agitated;displays normal behaviour ;will try to escape, fight if approached ;litter, lameness, ventilation, water availability, environmental enrichment, light, feed delivery ;number of feeders and feed delivery schedule ;coughing, snicking (sneezing), lameness, feather condition, injuries  ;minimal signs of fighting ;feather pecking, fighting 
Eng;Farmer;United States;F;51-60;high school ;high school is all;each other good care;goobles looks intentively;goobles;they are very smart gets close to owner;shy's away;goobles;goobles;interested ;shy's away;clean and neat ;good food fresh water;medical care shelter and good food;eats and are content;gobbles and seeks others
Eng;Contract farmer;Austria;M;31-40;high school ;;good water, air and litter;if they know it it is no problem;stress;? no problem;stress;agressiv or fear;stress;notthing;agressive;dry litter good air clean water;there is no anormal feed;clean flock;nothing spetial;spetial noise
Eng;Veterinarian;United Kingdom;M;41-50;specialization course (master, PhD degree) ;PhD in Animal Welfare, Honours Degree in Zoology;The fitness, health and productivity of turkeys should be protected by adapting their conditions and management to their biology and natural behaviour. They should be given a varied environment with loose material and other enrichments and as much outdoor access as possible. Turkeys should be bred and managed for robustness and low behavioural problems rather than for excessive production. Turkeys should be able to mate naturally. Lighting indoors should be adequate for normal behaviour, with a gradual dawn and dusk and an uninterrupted resting period at night. If outdoor access is not possible there should be windows to provide natural light. Housing needs to take size and weight into account, with low nests and perches, solid floors and sufficient height for headroom. Management of all flocks should be planned to avoid fear and distress from hatching to slaughter.   ;Will orient to the noise, exhibiting the classic startle response. Depending upon the source, the turkey may flee. Over time, if the source does not result in positive or negative consequences, it may habituate and respond less or not at all to the noise. During the initial startle response, it may experience stress.;May experience significant stress, exhibiting behavioural indicators such as locomotion, vocalisation, attempts to escape the location and head back to the flock. Heart rate and respiration rate may rise, as may plasma and salivary corticoid levels. If prolonged, the rise in corticoids may result in immunosupression, making the turkey more vulnerable to infectious disease.;May experience less stress than that discussed above regarding isolation, or indeed no stress. However, this will depend upon the behaviour of the animals or people. If they perform behaviour which does engender stress, the habitution responsible for the reduced response may break down.;May experience stress, exhibiting behavioural indicators such as locomotion and attempts to escape the location. Heart rate and respiration rate may rise, as may plasma and salivary corticoid levels. If prolonged, the rise in corticoids may result in immunosuppression, making the turkey more vulnerable to infectious disease. The behaviour of the unfamiliar animal or person may modify this response over time. If the behaviour towards the turkey is neutral or positive it may habituate to their presence. If it is negative it may not habituate, indeed its behavioural and physiological responses to the stress may intensify.  ;Will feel fear.  If the noise occurs repeatedly the fear felt at each instance may decline over time as the turkey habituates to the noise. If the consequences of the noise are negative (e.g. result in pain, isolation or stress) the fear may intensify.;May feel fear, lasting for the duration of the isolation.;May experience less fear than that discussed above regarding isolation, or indeed no fear. However, this will depend upon the behaviour of the animals or people. If they perform behaviour which does engender fear, the habitution responsible for the reduced response may break down.;May feel fear. The behaviour of the unfamiliar animal or person may modify this fear over time. If the behaviour towards the turkey is neutral or positive it may habituate to their presence and feel less and eventually no fear. If it is negative it may not habituate, indeed its fear may intensify.;Presence and cleanliness of bedding, repair and maintenance of buildings and equipment.;Cleanliness of feeding and water troughs, quality of feed provided (eg lacking dust and mould). Quantity of feed provided. Animals neither obese nor thin.; Bright eyes, no discharges, no lameness. No lesions or wounds. Normal heart rate, respiration rate and body temprature. No areas of lost or damaged feathers. Normal faeces colour. Normal interest in surroundings, normal appetite and social behaviour. ;Inquisitive and reactive to enviornment, including presence of observer. Not over-reactive to observer- no extreme avoindance responses. Staying with the flock. May approach observer. Normal interest in food.;Extreme avoidance behaviour, extreme reactivity to stimulation. No interest in food or water. Avoiding rest of flock. Stereotypical behaviour. Learned helplessness- ie unresponsive to presence of observer or environmental stimulation.
Eng;Veterinarian;United States;M;41-50;specialization course (master, PhD degree) ;Doctor of Veterinay Medicine, Masters of Preventative Veteinary Medicine;Adequate access to food and water as appropriate for the use of the turkey.  Minimization of unnecessary stress factors.   Plan to minimize risk of disease (infectious and non-infectious).  Clean litter in the first few weeks of life and litter maintained to decrease enteric pathogen exposure. Good air quality.  Enough space to allow movement and access to food and water and minimize stress.;Variable depending on situation. Flock of turkeys during the day will become quiet and alert for a period of time if the noise is relatively unique. If acclimated, they may not respond. Male turkeys may mimic a male turkey sound. At night, birds may startle, pile, and scratch depending on the type of sound and acclimation.;"Will attempt to rejoin the flock if possible. If ill, then may be depressed and reluctant to move. Birds kept as individuals will acclimate; pet turkeys.";Variable responses. If very familiar, turkeys may approach and interact. Some may move away cautiously but be curious. Some may move away a little or not approach until after a short period of time. Some may keep distance until there is something that further attracts their attention (food, shiny object, small movements).;Variable responses depending on how unfamiliar. Some flocks will scatter and move away from the object rapidly, possibly causing piling and scratching. Some may move away cautiously. Some may have enough overall human interaction that they will approach and interact with new people.;Speculation on how the animal feels in these situations is potentially problematic. People can have a different interpretation based on their own personal experiences, which may not be applicable to the health and wellbeing of the birds. People with a lack of understanding of turkeys can misinterpret their behaviours. Efforts should be made to minimize unnecessary stress throughout the life of the birds regardless of its source.  Some stress is necessary (weight management feeding programs, vaccines, etc) to maximize welfare.;Speculation on how the animal feels in these situations is potentially problematic. People can have a different interpretation based on their own personal experiences, which may not be applicable to the health and wellbeing of the birds. People with a lack of understanding of turkeys can misinterpret their behaviours. Efforts should be made to minimize unnecessary stress throughout the life of the birds regardless of its source.  Some stress is necessary (weight management feeding programs, vaccines, etc) to maximize welfare.;Speculation on how the animal feels in these situations is potentially problematic. People can have a different interpretation based on their own personal experiences, which may not be applicable to the health and wellbeing of the birds. People with a lack of understanding of turkeys can misinterpret their behaviours. Efforts should be made to minimize unnecessary stress throughout the life of the birds regardless of its source.  Some stress is necessary (weight management feeding programs, vaccines, etc) to maximize welfare.;Speculation on how the animal feels in these situations is potentially problematic. People can have a different interpretation based on their own personal experiences, which may not be applicable to the health and wellbeing of the birds. People with a lack of understanding of turkeys can misinterpret their behaviours. Efforts should be made to minimize unnecessary stress throughout the life of the birds regardless of its source.  Some stress is necessary (weight management feeding programs, vaccines, etc) to maximize welfare.;Air quality, litter quality, access to food and water, temperature control, density, biosecurity (general, rodent prevention including bait stations/aprons/etc, insect prevention, other animals prevention, human visitors, traffic flow), other stressors, environmental enrichment especially if pecking problems.;Is feed present, correct height of feed lines, properly maintained feed lines, spilled feed, clean feed, equipment maintained and functional, feed bins monitored. Same with water lines.;Birds appear bright, alert, responsive, and hydrated. Uniformity of the flock (how variable are the sizes of the birds).  Is there problems with pecking/persecution. Obvious musculoskeletal problems (lameness, etc). Evidence of respiratory disease (snicking or other noises, discharge, discharge across back of birds at shoulders, wing droop, etc.) Evidence of enteric disease (pasting, loose droppings, wet litter, etc.);Eating and drinking properly. Move out of way when flock is walked and fill in behind gaps in the house. Exercising (running, wing flapping). Curious.;Opposite of above. Abnormal pacing (running the feed lines).
Esp;Veterinarian;Chile;F;21-30;;Medicina Veterinaria;Balanced diet according to their nutritional requirements, concern for their health, good habitat conditions, good treatment by the staff in charge who must be trained permanently, enough space to perform their natural behavior.;It fixes its glance in search of the origin of the noise. Sometimes they flap and try to run.;Try running or flapping.;It is curious, it approaches or is indifferent.;Shows signs of feeling scared, nervous or alert;Scared;Scared, insecure.;Calm, relaxed or indifferent.;Scared, fearful, alert.;Condition of the mucous membranes, integrity, brightness. Integrity of the plumage, cleanliness and brightness.;The size of the birds, the size according to their age. Plumage conditions, its integrity, brightness. Skeletal muscle conformation.;Living behavior, attentive to the environment. Skeletal muscle conformation. Integrity of skin and plumage.;Observation of normal behavior, when feeding and drinking. Interaction with pairs, absence of fights, cannibalism or picaje.;Excessive cannibalism, pecking manifested in the presence of wounds, lack of feathers, bleeding, etc.
Esp;Veterinarian;United States;F;41-50;;Formación profesional de grado superior de Agraria  ;Stable social group, sufficient physical space to allow interactions and perform behaviors, food sources and water permanently available, regular sanitary surveillance.;Perform behaviors indicative of fear.;Search to reestablish contact with the group.;Interact according to previous experience with that animal or person.;Behave with caution, explore, be alert, or even run away depending on the interaction or proximity with those animals or people.;I could feel scared.;He could feel unprotected, helpless.;Depending on previous experience with those animals or people, you might feel protected, stable, well or you might even be scared, etc.;Surely you will feel fear and curiosity.;State of plumage, density and sex ratio of the group, state of the litter, number of feeders and drinkers, available objects with which it can interact, etc.;Type of food provided and number of feeders, general condition of the individuals, growth curves, if any.;General condition of the individuals, plumage state, behavioral activity they perform.;I would identify that they perform ambulatory activities, eat, that there are very few aggressions between individuals, that when approaching them they move easily, etc.;Identify plumage status to evaluate if there is plumage of feathers or signs of cannibalism, observation of stereotyped behaviors.
Ita;Veterinarian;Italy;M;51-60;Formazione post universitaria (master, scuola di specializzazione o dottorato ) ;medico veterinario, scuola di specializzazione in patologia aviare, del coniglio e dei ruminanti selvatici;origin from animals with high health status balanced food and correctly administered breeding environment with structural and technological equipment able to maintain control of the microclimate;activates attention and response systems;.;tendentially curious the turkey tends to move in a group towards the person.;In the presence of people, turkeys tend to approach, if an animal enters breeding (cat, wild) especially during the dark hours it provokes an escape reaction;activates systems of attention, research and if repeated escape reaction;looking for the group;curiosity;curiosity and in some situations fear and flight;quality of bedding, technological equipment (heating ventilation, drinking troughs, feeders),;uniformity, quality of the litter, conformation, weight;group response to stimuli, presence of subjects with movement difficulties, daily consumption, daily mortality;group response to stimuli, presence of subjects with movement difficulties, daily consumption, daily mortality;la mancanza o riduzione dei carrteri sopra indicati
Ita;Farmer;Italy;M;31-40;Laurea di primo livello  ;;clean water, balanced feed, dry and soft litter, air with optimal temperature in relation to age, with a humidity between 55% and 65% and without gas;he escapes and goes to protect himself in the corners, along the walls and under the equipment;tries to reintegrate into the group;they are coming closer;he is aggressive;fear;fear;is approaching;fear;group homogeneity, state of the arts;stool consistency feed consistency;mobility presence laments sneezing liveliness;"they come to meet; the males turn and peck";stop, pile up
Ita;Farmer;Italy;M;>60;Scuola secondaria: Istituto agrario;;Quality of the tacchinotto, food, environment.;As a child you get scared, big shows first attention and then becomes curious.;If in the same environment comes close to the group, otherwise it adapts to the situation, wanders, eats drinks, etc.;The person or group follows;Mastra carefully then if adult approaches.;Small can try to run to the sides or in the corners of the sheds, as an adult can have a different behavior, such as frightened or curious;Nothing is happening.;Following are the people or the group of animals.;It adapts first with diffidence then becomes curious and approaches;They must be as good as possible, such as dry air, maximum ventilation, maximum availability of feeding points and abbering;Fixed points in the right number of xisponibilita of animals present per square meter.;It depends very much on the quality of the chicks, thanks to the health of the parents. Sick parents or unhealthy chicks in poor health, life cycle difficult to manage.;Attentive, curious animals, standing and the olori of lively subjects.;Animals standing on their legs, in piles, crouched along the walls of the sheds.
Ita;Farmer;Italy;M;31-40;Scuola secondaria: Liceo;;A good environment to live in, food always available;Usually they get scared by pulcni, but as adults they are curious and attracted to noise;It is displaced and generally remains where it is;It depends on the age of the turkey. Either he follows him or remains indifferent;same as above;An unnatural noise for its habitat;Fear of being the only one who can be taken;It makes part of its habitat and daily life;same as above;I look at the general environment ... ammonia litter in the air as the animals are positioned in the shed;I look at the mangers if they are positioned correte, the food in what state it is, if all the animals can access it;What color are the feathers, how they walk w breathe ...;.;.
Ita;Veterinarian;Italy;M;41-50;Laurea di primo livello  ;laurea in Scienze Produzione Animale;good management in terms of food and environment management;start to chuckle;crouch;it does not show signs of impatience;gives signs of fear;fright;anxiety;protection;anxiety;quality of the bedding;feed structure;cleaning of the pens;crouching;animals that move quickly
Por;Veterinarian;Portugal;F;41-50;Curso de pós-graduação (especialização, mestrado, doutoramento);;Turkeys need to have a good bedding, adequate environmental control, feeding and watering. In addition, there are three other main aspects: the management that is carried out at the farm level, the health program applied and the knowledge and skills of the caretaker;An animal with the behavioral characteristics of a turkey, in the face of a loud and abrupt noise, may have an escape behavior. This behavior can lead to severe heaping and death.;Birds are animals with a strong social behavior and it is important to stay in groups.;Birds in the presence of known persons do not normally exhibit anti-predatory behavior, such as flight.;Entry of strangers into a turkey pavilion may lead to escape behavior;The presence of a sudden noise can trigger fear and anti-predatory behaviors;Fear;Birds in the presence of known persons do not normally exhibit anti-predatory behavior, such as flight.;Entry of strangers into a turkey pavilion may lead to escape behavior;bedding, environmental conditions (temperature, HR and gases), equipment, insulation, noise, lighting;diet appropriate to the species, type and age of the animal water of good quality (water analysis);"mortality; animals subject to scrap, pathologies, paw problems, scratches, contact dermatitis";feeding and watering Agonistic behaviors- Cannibalism and feather ticking Anti-predatory behavior;Agonistic behaviors- Cannibalism and feather pecking Anti-predatory behavior
